vessel name,country,vessel_code,is_ulysses,account_type,gl_account,account_type,account_category,pl_mapping_1,pnl_contribution_daily_usd_rounded,Business Date Local,order_account_full_code
,CA,VAN-010-01,FALSE,Kitchens (CAN),507005,,,L1 Expenses,56.38633333,4/1/2024,VAN-010-BK01-CA21-507005-55
Wall Street Ltd 1,GB,LIV-005-01,TRUE,REEF UK,519070,,,L1 Expenses,134.197,4/1/2024,GB-M00008-GB-XX-RE-1783925-KI-1002144-GB11-D00019-07-519070
,GB,LDN-202-01,FALSE,REEF UK,519025,,,L1 Expenses,-0.331,4/1/2024,GB-M25861-GB-XX-RE-1524299-KI-1002145-GB11-D00027-04-519025
,GB,LDN-202-01,FALSE,REEF UK,502030,,,L1 Expenses,6.244,4/1/2024,GB-M25861-GB-XX-RE-1524299-KI-1002145-GB11-D00019-03-502030
,GB,LDN-263-01,FALSE,REEF UK,537020,,,L3 Expenses,10.91966667,4/1/2024,GB-M25861-GB-XX-RE-1528649-KI-1001314-GB11-D00019-07-537020
Mamtas Kitchen Ltd,GB,LDN-029-01,TRUE,REEF UK,537020,,,L3 Expenses,151.7883333,4/1/2024,GB-M25861-GB-XX-RE-2000169-KI-1001364-GB11-D00019-07-537020
,CA,TOR-039-01,FALSE,Kitchens (CAN),515030,,,L1 Expenses,7.034333333,4/1/2024,TOR-039-EK01-CA22-515030-11
,CA,TOR-039-01,FALSE,Kitchens (CAN),515030,,,L1 Expenses,0.973,4/1/2024,TOR-039-EK01-CA22-515030-11
,CA,TOR-039-01,FALSE,Kitchens (CAN),515030,,,L1 Expenses,0.304,4/1/2024,TOR-039-EK01-CA22-515030-11
,CA,TOR-039-01,FALSE,Kitchens (CAN),515030,,,L1 Expenses,0.365,4/1/2024,TOR-039-EK01-CA22-515030-11
Athena,US,MIA-112-01,TRUE,Kitchens (US),511005,,,L1 Expenses,-36.62333333,4/1/2024,MIA-112-EK01-US23-511005-11
Athena,US,MIA-112-01,TRUE,Kitchens (US),511005,,,L1 Expenses,-58.798,4/1/2024,MIA-112-EK01-US23-511005-11
Tasty's,US,MIA-107-01,TRUE,Kitchens (US),511005,,,L1 Expenses,104.3686667,4/1/2024,MIA-107-HK01-US23-511005-32
Pinky,US,GBY-001-01,TRUE,Kitchens (US),511005,,,L1 Expenses,-129.2316667,4/1/2024,GBY-001-EK01-US20-511005-11
,US,DEN-002-01,FALSE,Kitchens (US),511005,,,L1 Expenses,3.605333333,4/1/2024,DEN-002-EK01-US25-511005-11
PNK International,GB,BIR-002-01,TRUE,REEF UK,511005,,,L1 Expenses,24.31766667,4/1/2024,GB-M25876-GB-XX-RE-1529223-KI-1001061-GB11-D00019-07-511005
Creatures,US,DEN-011-02,TRUE,Kitchens (US),511005,,,L1 Expenses,16.786,4/1/2024,DEN-011-EK02-US25-511005-11
Demons,US,DEN-011-01,TRUE,Kitchens (US),511005,,,L1 Expenses,-59.34866667,4/1/2024,DEN-011-EK01-US25-511005-11
,US,MIA-037-04,FALSE,Kitchens (US),511005,,,L1 Expenses,62.43166667,4/1/2024,MIA-037-EK04-US23-511005-11
,GB,LDN-005-02,FALSE,REEF UK,507010,,,L1 Expenses,17.934,4/1/2024,GB-M25861-GB-XX-RE-2000021-KI-1000981-GB11-D00019-07-507010
Wall Street Ltd 1,GB,LIV-005-01,TRUE,REEF UK,511005,,,L1 Expenses,234.267,4/1/2024,GB-M00008-GB-XX-RE-1783925-KI-1002144-GB11-D00019-07-511005
Eesentia,GB,LDN-205-02,TRUE,REEF UK,511005,,,L1 Expenses,34.94233333,4/1/2024,GB-M25861-GB-XX-RE-1532113-LDN-205-BK02-GB11-D00019-07-511005
,GB,FC-1001066,FALSE,REEF UK,610015,,,Non-recurring Costs,46.785,4/1/2024,GB-M25861-GB-XX-RE-2000138-FC-1001066-GB11-D00012-03-610015
,CA,TOR-000-00,FALSE,Kitchens (CAN),610015,,,Non-recurring Costs,657.1956667,4/1/2024,TOR-000-EK00-CA22-610015-33
,US,MIN-030-01,FALSE,Kitchens (US),511005,,,L1 Expenses,64.41266667,4/1/2024,MIN-030-EK01-US26-511005-11
,US,MIN-030-01,FALSE,Kitchens (US),511005,,,L1 Expenses,40.88466667,4/1/2024,MIN-030-EK01-US26-511005-21
,US,MIN-030-01,FALSE,Kitchens (US),511005,,,L1 Expenses,-85.39533333,4/1/2024,MIN-030-EK01-US26-511005-21
,US,MIN-030-01,FALSE,Kitchens (US),511005,,,L1 Expenses,-31.33966667,4/1/2024,MIN-030-EK01-US26-511005-21
,US,MIN-030-01,FALSE,Kitchens (US),511005,,,L1 Expenses,52.7,4/1/2024,MIN-030-EK01-US26-511005-21
,US,MIN-030-01,FALSE,Kitchens (US),511005,,,L1 Expenses,5.333333333,4/1/2024,MIN-030-EK01-US26-511005-21
,US,MIN-030-01,FALSE,Kitchens (US),511005,,,L1 Expenses,40.8,4/1/2024,MIN-030-EK01-US26-511005-21
,US,MIN-030-01,FALSE,Kitchens (US),511005,,,L1 Expenses,37.03333333,4/1/2024,MIN-030-EK01-US26-511005-21
,CA,TOR-005-02,FALSE,Kitchens (CAN),515030,,,L1 Expenses,7.327333333,4/1/2024,TOR-005-EK02-CA22-515030-11
,CA,TOR-005-02,FALSE,Kitchens (CAN),515030,,,L1 Expenses,1.002333333,4/1/2024,TOR-005-EK02-CA22-515030-11
,CA,TOR-005-02,FALSE,Kitchens (CAN),515030,,,L1 Expenses,0.365,4/1/2024,TOR-005-EK02-CA22-515030-11
,CA,TOR-005-02,FALSE,Kitchens (CAN),515030,,,L1 Expenses,0.304,4/1/2024,TOR-005-EK02-CA22-515030-11
,US,MIA-203-01,FALSE,Kitchens (US),520010,,,L2 Expenses,16.2,4/1/2024,MIA-203-IW01-US23-520010-61
,US,MIA-203-01,FALSE,Kitchens (US),520010,,,L2 Expenses,1.666666667,4/1/2024,MIA-203-IW01-US23-520010-61
,US,MIA-203-01,FALSE,Kitchens (US),520010,,,L2 Expenses,0.666666667,4/1/2024,MIA-203-IW01-US23-520010-61
,US,MIA-203-01,FALSE,Kitchens (US),520010,,,L2 Expenses,40,4/1/2024,MIA-203-IW01-US23-520010-61
,US,MIA-203-01,FALSE,Kitchens (US),520015,,,L2 Expenses,0.853333333,4/1/2024,MIA-203-IW01-US23-520015-61
,GB,FC-1001054,FALSE,REEF UK,601030,,,L4 Expenses,59.095,4/1/2024,GB-M25861-GB-XX-RE-2000138-FC-1001054-GB12-D00016-03-601030
,GB,LDN-263-01,FALSE,REEF UK,507005,,,L1 Expenses,4.105,4/1/2024,GB-M25861-GB-XX-RE-1528649-KI-1001314-GB11-D00019-07-507005
,GB,LDN-263-01,FALSE,REEF UK,507005,,,L1 Expenses,2.668333333,4/1/2024,GB-M25861-GB-XX-RE-1528649-KI-1001314-GB11-D00019-07-507005
,US,MIA-037-04,FALSE,Kitchens (US),515030,,,L1 Expenses,2.958,4/1/2024,MIA-037-EK04-US23-515030-11
,US,MIA-009-06,FALSE,Kitchens (US),515030,,,L1 Expenses,2.742666667,4/1/2024,MIA-009-EK06-US23-515030-11
,US,MIA-009-06,FALSE,Kitchens (US),515030,,,L1 Expenses,0.952,4/1/2024,MIA-009-EK06-US23-515030-11
Eleanor,US,MIA-009-07,TRUE,Kitchens (US),515030,,,L1 Expenses,0.952,4/1/2024,MIA-009-EK07-US23-515030-11
,US,MIA-009-06,FALSE,Kitchens (US),515030,,,L1 Expenses,3.196,4/1/2024,MIA-009-EK06-US23-515030-11
,US,MIA-009-06,FALSE,Kitchens (US),515030,,,L1 Expenses,2.629333333,4/1/2024,MIA-009-EK06-US23-515030-11
Stacey,US,MIA-049-01,TRUE,Kitchens (US),515030,,,L1 Expenses,3.048666667,4/1/2024,MIA-049-EK01-US23-515030-11
NLAA,US,MIA-028-01,TRUE,Kitchens (US),515030,,,L1 Expenses,1.813333333,4/1/2024,MIA-028-EK01-US23-515030-11
,US,MIA-009-06,FALSE,Kitchens (US),515030,,,L1 Expenses,2.085333333,4/1/2024,MIA-009-EK06-US23-515030-11
,US,MIA-037-04,FALSE,Kitchens (US),515030,,,L1 Expenses,2.436666667,4/1/2024,MIA-037-EK04-US23-515030-11
,US,MIA-009-06,FALSE,Kitchens (US),515030,,,L1 Expenses,2.912666667,4/1/2024,MIA-009-EK06-US23-515030-11
,US,MIA-009-06,FALSE,Kitchens (US),515030,,,L1 Expenses,0,4/1/2024,MIA-009-EK06-US23-515030-11
,US,MIA-009-06,FALSE,Kitchens (US),515030,,,L1 Expenses,0,4/1/2024,MIA-009-EK06-US23-515030-11
Stacey,US,MIA-049-01,TRUE,Kitchens (US),515030,,,L1 Expenses,2.561333333,4/1/2024,MIA-049-EK01-US23-515030-11
Eesentia,GB,LDN-205-02,TRUE,REEF UK,511005,,,L1 Expenses,64.239,4/1/2024,GB-M25861-GB-XX-RE-1532113-LDN-205-BK02-GB11-D00019-07-511005
Eesentia,GB,LDN-205-02,TRUE,REEF UK,511005,,,L1 Expenses,76.10866667,4/1/2024,GB-M25861-GB-XX-RE-1532113-LDN-205-BK02-GB11-D00019-07-511005
Creatures,US,DEN-011-02,TRUE,Kitchens (US),511005,,,L1 Expenses,-14.02233333,4/1/2024,DEN-011-EK02-US25-511005-11
Stacey,US,MIA-049-01,TRUE,Kitchens (US),511005,,,L1 Expenses,123.2946667,4/1/2024,MIA-049-EK01-US23-511005-11
Eleanor,US,MIA-009-07,TRUE,Kitchens (US),511005,,,L1 Expenses,160.9816667,4/1/2024,MIA-009-EK07-US23-511005-11
La Perla,US,MIA-007-02,TRUE,Kitchens (US),511005,,,L1 Expenses,64.59433333,4/1/2024,MIA-007-EK02-US23-511005-11
La Perla,US,MIA-007-02,TRUE,Kitchens (US),511005,,,L1 Expenses,97.73333333,4/1/2024,MIA-007-EK02-US23-511005-21
NLAA,US,MIA-028-01,TRUE,Kitchens (US),511005,,,L1 Expenses,79.04466667,4/1/2024,MIA-028-EK01-US23-511005-11
NLAA,US,MIA-028-01,TRUE,Kitchens (US),511005,,,L1 Expenses,136.0666667,4/1/2024,MIA-028-EK01-US23-511005-21
NLAA,US,MIA-028-01,TRUE,Kitchens (US),511005,,,L1 Expenses,52.93333333,4/1/2024,MIA-028-EK01-US23-511005-21
NLAA,US,MIA-028-01,TRUE,Kitchens (US),511005,,,L1 Expenses,-24.03333333,4/1/2024,MIA-028-EK01-US23-511005-21
,CA,OTT-009-01,FALSE,Kitchens (CAN),614005,,,Non-recurring Costs,5.929333333,4/1/2024,OTT-009-EK01-CA22-614005-55
La Perla,US,MIA-007-02,TRUE,Kitchens (US),511005,,,L1 Expenses,108.0013333,4/1/2024,MIA-007-EK02-US23-511005-21
Mamtas Kitchen Ltd,GB,LDN-029-01,TRUE,REEF UK,511005,,,L1 Expenses,129.9566667,4/1/2024,GB-M25861-GB-XX-RE-2000169-KI-1001364-GB11-D00019-05-511005
Sherni,CA,TOR-028-02,TRUE,Kitchens (CAN),511005,,,L1 Expenses,67.692,4/1/2024,TOR-028-EK02-CA22-511005-11
Simba,CA,TOR-018-01,TRUE,Kitchens (CAN),511005,,,L1 Expenses,56.85333333,4/1/2024,TOR-018-EK01-CA22-511005-11
,GB,LDN-263-01,FALSE,REEF UK,507005,,,L1 Expenses,4.741333333,4/1/2024,GB-M25861-GB-XX-RE-1528649-KI-1001314-GB11-D00019-04-507005
Mamtas Kitchen Ltd,GB,LDN-029-01,TRUE,REEF UK,511005,,,L1 Expenses,94.16933333,4/1/2024,GB-M25861-GB-XX-RE-2000169-KI-1001364-GB11-D00019-07-511005
,US,DEN-002-01,FALSE,Kitchens (US),515030,,,L1 Expenses,3.532,4/1/2024,DEN-002-EK01-US25-515030-11
,US,DEN-002-01,FALSE,Kitchens (US),515030,,,L1 Expenses,0.133,4/1/2024,DEN-002-EK01-US25-515030-11
,US,DEN-002-01,FALSE,Kitchens (US),515030,,,L1 Expenses,0.15,4/1/2024,DEN-002-EK01-US25-515030-11
,US,DEN-002-01,FALSE,Kitchens (US),515030,,,L1 Expenses,0.009333333,4/1/2024,DEN-002-EK01-US25-515030-11
Mamtas Kitchen Ltd,GB,LDN-029-01,TRUE,REEF UK,537020,,,L3 Expenses,96.39166667,4/1/2024,GB-M25861-GB-XX-RE-2000169-KI-1001364-GB11-D00019-05-537020
,CA,TOR-900-02,FALSE,Kitchens (CAN),535020,,,L3 Expenses,23.802,4/1/2024,TOR-900-PK02-CA22-535020-12
,US,RDU-001-01,FALSE,Kitchens (US),509005,,,L1 Expenses,205,4/1/2024,RDU-001-AK01-US22-509005-52
,US,RDU-001-01,FALSE,Kitchens (US),509005,,,L1 Expenses,286.2333333,4/1/2024,RDU-001-AK01-US22-509005-52
,US,RDU-001-01,FALSE,Kitchens (US),509005,,,L1 Expenses,471.1666667,4/1/2024,RDU-001-AK01-US22-509005-52
,CA,TOR-025-01,FALSE,Kitchens (CAN),515005,,,L1 Expenses,42.828,4/1/2024,TOR-025-EK01-CA22-515005-11
,CA,TOR-025-01,FALSE,Kitchens (CAN),515010,,,L1 Expenses,1.092333333,4/1/2024,TOR-025-EK01-CA22-515010-11
,CA,TOR-039-01,FALSE,Kitchens (CAN),515005,,,L1 Expenses,27.30933333,4/1/2024,TOR-039-EK01-CA22-515005-11
NLAA,US,MIA-028-01,TRUE,Kitchens (US),515010,,,L1 Expenses,4.123666667,4/1/2024,MIA-028-EK01-US23-515010-11
,US,SFO-046-01,FALSE,Kitchens (US),610015,,,Non-recurring Costs,171.9893333,4/1/2024,SFO-046-IW01-US20-610015-33
,US,SEA-000-00,FALSE,Kitchens (US),610015,,,Non-recurring Costs,166.6666667,4/1/2024,SEA-000-EK00-US30-610015-33
,GB,FC-1001186,FALSE,REEF UK,611025,,,L4 Expenses,145.3523333,4/1/2024,GB-M25861-GB-XX-RE-2000138-FC-1001186-GB11-D00017-01-611025
