vessel name,country,vessel_code,is_ulysses,account_type,gl_account,account_type,account_category,pl_mapping_1,pnl_contribution_daily_usd_rounded,Business Date Local,order_account_full_code
,GB,LDN-302-01,FALSE,REEF UK,509005,,,L1 Expenses,105.4083333,6/1/2024,GB-M25861-GB-XX-RE-2162213-LDN-302-01-GB11-D00012-01-509005
Pikachu,CA,TOR-010-01,TRUE,Kitchens (CAN),511005,,,L1 Expenses,31.03,6/1/2024,TOR-010-EK01-CA22-511005-11
,GB,FC-1001077,FALSE,REEF UK,537210,,,L3 Expenses,138.94,6/1/2024,GB-M25861-GB-XX-RE-2000138-FC-1001077-GB12-D00019-04-537210
,GB,FC-1001076,FALSE,REEF UK,509005,,,L1 Expenses,113.852,6/1/2024,GB-M25861-GB-XX-RE-2000138-FC-1001076-GB11-D00012-01-509005
Stacey,US,MIA-049-01,TRUE,Kitchens (US),511005,,,L1 Expenses,11.637,6/1/2024,MIA-049-EK01-US23-511005-11
After Eats,US,BAL-041-01,TRUE,Kitchens (US),511005,,,L1 Expenses,-1.270333333,6/1/2024,BAL-041-BK01-US21-511005-11
,US,MIA-037-04,FALSE,Kitchens (US),511005,,,L1 Expenses,41.73933333,6/1/2024,MIA-037-EK04-US23-511005-11
Athena,US,MIA-112-01,TRUE,Kitchens (US),511005,,,L1 Expenses,34.86433333,6/1/2024,MIA-112-EK01-US23-511005-11
NLAA,US,MIA-028-01,TRUE,Kitchens (US),511005,,,L1 Expenses,78.21833333,6/1/2024,MIA-028-EK01-US23-511005-11
Tasty's,US,MIA-107-01,TRUE,Kitchens (US),511005,,,L1 Expenses,53.09633333,6/1/2024,MIA-107-HK01-US23-511005-32
Pinky,US,GBY-001-01,TRUE,Kitchens (US),511005,,,L1 Expenses,31.713,6/1/2024,GBY-001-EK01-US20-511005-11
La Perla,US,MIA-007-02,TRUE,Kitchens (US),511005,,,L1 Expenses,43.51433333,6/1/2024,MIA-007-EK02-US23-511005-11
Eleanor,US,MIA-009-07,TRUE,Kitchens (US),511005,,,L1 Expenses,-42.30333333,6/1/2024,MIA-009-EK07-US23-511005-11
,US,BAL-029-01,FALSE,Kitchens (US),509005,,,L1 Expenses,64.76666667,6/1/2024,BAL-029-EK01-US21-509005-11
,US,MIN-030-01,FALSE,Kitchens (US),511005,,,L1 Expenses,-30.01733333,6/1/2024,MIN-030-EK01-US26-511005-11
,US,DEN-002-01,FALSE,Kitchens (US),511005,,,L1 Expenses,37.42233333,6/1/2024,DEN-002-EK01-US25-511005-11
Demons,US,DEN-011-01,TRUE,Kitchens (US),511005,,,L1 Expenses,-28.16033333,6/1/2024,DEN-011-EK01-US25-511005-11
Creatures,US,DEN-011-02,TRUE,Kitchens (US),511005,,,L1 Expenses,-56.36166667,6/1/2024,DEN-011-EK02-US25-511005-11
Eesentia,GB,LDN-205-02,TRUE,REEF UK,515005,,,L1 Expenses,54.14533333,6/1/2024,GB-M25861-GB-XX-RE-1532113-KI-1001091-GB11-D00002-01-515005
,US,SEA-000-00,FALSE,Kitchens (US),615015,,,Non-recurring Costs,24.38566667,6/1/2024,SEA-000-EK00-US20-615015-11
,US,SEA-000-00,FALSE,Kitchens (US),615015,,,Non-recurring Costs,24.38566667,6/1/2024,SEA-000-EK00-US20-615015-11
,US,SEA-000-00,FALSE,Kitchens (US),615015,,,Non-recurring Costs,4.646,6/1/2024,SEA-000-EK00-US20-615015-11
,US,SEA-000-00,FALSE,Kitchens (US),615015,,,Non-recurring Costs,4.646333333,6/1/2024,SEA-000-EK00-US20-615015-11
,US,SEA-000-00,FALSE,Kitchens (US),615015,,,Non-recurring Costs,3.667666667,6/1/2024,SEA-000-EK00-US20-615015-11
,US,SEA-000-00,FALSE,Kitchens (US),615015,,,Non-recurring Costs,3.667666667,6/1/2024,SEA-000-EK00-US20-615015-11
Simba,CA,TOR-018-01,TRUE,Kitchens (CAN),511005,,,L1 Expenses,2.723333333,6/1/2024,TOR-018-EK01-CA22-511005-11
Eesentia,GB,LDN-205-02,TRUE,REEF UK,515005,,,L1 Expenses,51.56466667,6/1/2024,GB-M25861-GB-XX-RE-1532113-KI-1001091-GB11-D00002-01-515005
,US,SEA-000-00,FALSE,Kitchens (US),615015,,,Non-recurring Costs,0.464,6/1/2024,SEA-000-EK00-US20-615015-11
,US,SEA-000-00,FALSE,Kitchens (US),615015,,,Non-recurring Costs,0.464,6/1/2024,SEA-000-EK00-US20-615015-11
,US,SEA-000-00,FALSE,Kitchens (US),615015,,,Non-recurring Costs,0.496,6/1/2024,SEA-000-EK00-US20-615015-11
,US,SEA-000-00,FALSE,Kitchens (US),615015,,,Non-recurring Costs,0.496,6/1/2024,SEA-000-EK00-US20-615015-11
Eesentia,GB,LDN-205-02,TRUE,REEF UK,509005,,,L1 Expenses,184.5543333,6/1/2024,GB-M25861-GB-XX-RE-1532113-KI-1001091-GB11-D00002-01-509005
,US,SEA-000-00,FALSE,Kitchens (US),615015,,,Non-recurring Costs,0.457,6/1/2024,SEA-000-EK00-US20-615015-11
,US,SEA-000-00,FALSE,Kitchens (US),615015,,,Non-recurring Costs,0.457,6/1/2024,SEA-000-EK00-US20-615015-11
,GB,BIR-034-01,FALSE,REEF UK,509005,,,L1 Expenses,105.4596667,6/1/2024,GB-M25876-GB-XX-RE-1521928-KI-1001310-GB11-D00002-01-509005
,US,SEA-000-00,FALSE,Kitchens (US),615015,,,Non-recurring Costs,35.67966667,6/1/2024,SEA-000-EK00-US20-615015-11
,US,SEA-000-00,FALSE,Kitchens (US),615015,,,Non-recurring Costs,35.67966667,6/1/2024,SEA-000-EK00-US20-615015-11
Eesentia,GB,LDN-205-02,TRUE,REEF UK,515005,,,L1 Expenses,46.91266667,6/1/2024,GB-M25861-GB-XX-RE-1532113-KI-1001091-GB11-D00002-01-515005
PNK International,GB,BIR-002-01,TRUE,REEF UK,509005,,,L1 Expenses,107.5686667,6/1/2024,GB-M25876-GB-XX-RE-1529223-KI-1001061-GB11-D00019-04-509005
,US,SEA-000-00,FALSE,Kitchens (US),615015,,,Non-recurring Costs,3.827,6/1/2024,SEA-000-EK00-US20-615015-11
,US,SEA-000-00,FALSE,Kitchens (US),615015,,,Non-recurring Costs,3.827,6/1/2024,SEA-000-EK00-US20-615015-11
,US,RDU-001-01,FALSE,Kitchens (US),509005,,,L1 Expenses,1405.503667,6/1/2024,RDU-001-AK01-US22-509005-32
,US,RDU-001-01,FALSE,Kitchens (US),613020,,,L4 Expenses,46.85,6/1/2024,RDU-001-AK01-US22-613020-32
Tom & Jerry,CA,TOR-005-02,TRUE,Kitchens (CAN),511005,,,L1 Expenses,80.701,6/1/2024,TOR-005-EK02-CA22-511005-11
,US,RHQ-MF0-70,FALSE,Kitchens (US),507010,,,L1 Expenses,7.720333333,6/1/2024,RHQ-MF0-HQ70-US20-507010-16
Tom & Jerry,CA,TOR-005-02,TRUE,Kitchens (CAN),511005,,,L1 Expenses,43.64733333,6/1/2024,TOR-005-EK02-CA22-511005-11
