vessel name,country,vessel_code,is_ulysses,account_type,gl_account,account_type,account_category,pl_mapping_1,pnl_contribution_daily_usd_rounded,Business Date Local,order_account_full_code
,US,BAL-029-01,FALSE,Kitchens (US),537250,,,L3 Expenses,16.90322581,5/1/2024,BAL-029-EK01-US21-537250-58
Kimmy’s,GB,LDN-297-01,TRUE,REEF UK,515040,,,L1 Expenses,21.99225806,5/1/2024,GB-M25861-GB-XX-RE-1785134-KI-1002204-GB11-D00019-04-515040
Kimmy’s,GB,LDN-297-01,TRUE,REEF UK,515010,,,L1 Expenses,4.925483871,5/1/2024,GB-M25861-GB-XX-RE-1785134-KI-1002204-GB11-D00019-04-515010
Kimmy’s,GB,LDN-297-01,TRUE,REEF UK,515030,,,L1 Expenses,10.34354839,5/1/2024,GB-M25861-GB-XX-RE-1785134-KI-1002204-GB11-D00019-04-515030
Kimmy’s,GB,LDN-297-01,TRUE,REEF UK,515005,,,L1 Expenses,1.149354839,5/1/2024,GB-M25861-GB-XX-RE-1785134-KI-1002204-GB11-D00019-04-515005
Kimmy’s,GB,LDN-297-01,TRUE,REEF UK,520040,,,L2 Expenses,6.437741935,5/1/2024,GB-M25861-GB-XX-RE-1785134-KI-1002204-GB11-D00019-04-520040
Kimmy’s,GB,LDN-297-01,TRUE,REEF UK,520040,,,L2 Expenses,2.666451613,5/1/2024,GB-M25861-GB-XX-RE-1785134-KI-1002204-GB11-D00019-04-520040
Kimmy’s,GB,LDN-297-01,TRUE,REEF UK,515040,,,L1 Expenses,21.90451613,5/1/2024,GB-M25861-GB-XX-RE-1785134-KI-1002204-GB11-D00019-04-515040
Kimmy’s,GB,LDN-297-01,TRUE,REEF UK,515010,,,L1 Expenses,6.444193548,5/1/2024,GB-M25861-GB-XX-RE-1785134-KI-1002204-GB11-D00019-04-515010
Kimmy’s,GB,LDN-297-01,TRUE,REEF UK,515030,,,L1 Expenses,6.198064516,5/1/2024,GB-M25861-GB-XX-RE-1785134-KI-1002204-GB11-D00019-04-515030
Kimmy’s,GB,LDN-297-01,TRUE,REEF UK,515005,,,L1 Expenses,1.477741935,5/1/2024,GB-M25861-GB-XX-RE-1785134-KI-1002204-GB11-D00019-04-515005
Kimmy’s,GB,LDN-297-01,TRUE,REEF UK,520040,,,L2 Expenses,6.437741935,5/1/2024,GB-M25861-GB-XX-RE-1785134-KI-1002204-GB11-D00019-04-520040
Kimmy’s,GB,LDN-297-01,TRUE,REEF UK,520040,,,L2 Expenses,2.666451613,5/1/2024,GB-M25861-GB-XX-RE-1785134-KI-1002204-GB11-D00019-04-520040
,CA,TOR-025-01,FALSE,Kitchens (CAN),507005,,,L1 Expenses,10.59806452,5/1/2024,TOR-025-EK01-CA22-507005-55
Mamtas Kitchen Ltd,GB,LDN-029-01,TRUE,REEF UK,515030,,,L1 Expenses,40.84419355,5/1/2024,GB-M25861-GB-XX-RE-2000169-KI-1001364-GB11-D00002-01-515030
,US,NYC-040-01,FALSE,Kitchens (US),537015,,,L3 Expenses,795.2790323,5/1/2024,NYC-040-MF01-US20-537015-16-PROJECT ID
Kimmy’s,GB,LDN-297-01,TRUE,REEF UK,515040,,,L1 Expenses,22.72548387,5/1/2024,GB-M25861-GB-XX-RE-1785134-KI-1002204-GB11-D00019-04-515040
Kimmy’s,GB,LDN-297-01,TRUE,REEF UK,515010,,,L1 Expenses,7.429354839,5/1/2024,GB-M25861-GB-XX-RE-1785134-KI-1002204-GB11-D00019-04-515010
Kimmy’s,GB,LDN-297-01,TRUE,REEF UK,515030,,,L1 Expenses,8.414516129,5/1/2024,GB-M25861-GB-XX-RE-1785134-KI-1002204-GB11-D00019-04-515030
Kimmy’s,GB,LDN-297-01,TRUE,REEF UK,515005,,,L1 Expenses,0.902903226,5/1/2024,GB-M25861-GB-XX-RE-1785134-KI-1002204-GB11-D00019-04-515005
Kimmy’s,GB,LDN-297-01,TRUE,REEF UK,520040,,,L2 Expenses,6.437741935,5/1/2024,GB-M25861-GB-XX-RE-1785134-KI-1002204-GB11-D00019-04-520040
Kimmy’s,GB,LDN-297-01,TRUE,REEF UK,520040,,,L2 Expenses,2.666451613,5/1/2024,GB-M25861-GB-XX-RE-1785134-KI-1002204-GB11-D00019-04-520040
Kimmy’s,GB,LDN-297-01,TRUE,REEF UK,507005,,,L1 Expenses,56.52,5/1/2024,GB-M25861-GB-XX-RE-1785134-KI-1002204-GB11-D00019-04-507005
Kimmy’s,GB,LDN-297-01,TRUE,REEF UK,507005,,,L1 Expenses,18.84,5/1/2024,GB-M25861-GB-XX-RE-1785134-KI-1002204-GB11-D00019-04-507005
Kimmy’s,GB,LDN-297-01,TRUE,REEF UK,515040,,,L1 Expenses,22.72548387,5/1/2024,GB-M25861-GB-XX-RE-1785134-KI-1002204-GB11-D00019-04-515040
Kimmy’s,GB,LDN-297-01,TRUE,REEF UK,515010,,,L1 Expenses,5.377096774,5/1/2024,GB-M25861-GB-XX-RE-1785134-KI-1002204-GB11-D00019-04-515010
Kimmy’s,GB,LDN-297-01,TRUE,REEF UK,515030,,,L1 Expenses,7.224193548,5/1/2024,GB-M25861-GB-XX-RE-1785134-KI-1002204-GB11-D00019-04-515030
Kimmy’s,GB,LDN-297-01,TRUE,REEF UK,515005,,,L1 Expenses,0.944193548,5/1/2024,GB-M25861-GB-XX-RE-1785134-KI-1002204-GB11-D00019-04-515005
Kimmy’s,GB,LDN-297-01,TRUE,REEF UK,520040,,,L2 Expenses,8.047096774,5/1/2024,GB-M25861-GB-XX-RE-1785134-KI-1002204-GB11-D00019-04-520040
Kimmy’s,GB,LDN-297-01,TRUE,REEF UK,520040,,,L2 Expenses,3.332903226,5/1/2024,GB-M25861-GB-XX-RE-1785134-KI-1002204-GB11-D00019-04-520040
Newell Ltd,GB,LDN-146-01,TRUE,REEF UK,511005,,,L1 Expenses,18.15580645,5/1/2024,GB-M25861-GB-XX-RE-1497196-KI-1001190-GB11-D00019-07-511005
Sherni,CA,TOR-028-02,TRUE,Kitchens (CAN),511005,,,L1 Expenses,122.8012903,5/1/2024,TOR-028-EK02-CA22-511005-11
Pikachu,CA,TOR-010-01,TRUE,Kitchens (CAN),511005,,,L1 Expenses,115.7796774,5/1/2024,TOR-010-EK01-CA22-511005-11
Preston,CA,OTT-006-01,TRUE,Kitchens (CAN),511005,,,L1 Expenses,184.2822581,5/1/2024,OTT-006-EK01-CA22-511005-11
PNK International,GB,BIR-002-01,TRUE,REEF UK,511005,,,L1 Expenses,118.1983871,5/1/2024,GB-M25876-GB-XX-RE-1529223-KI-1001061-GB11-D00019-07-511005
N&R Ltd,GB,LDN-261-01,TRUE,REEF UK,511005,,,L1 Expenses,25.71483871,5/1/2024,GB-M25861-GB-XX-RE-1552193-KI-1001267-GB11-D00019-07-511005
Eesentia,GB,LDN-205-02,TRUE,REEF UK,511005,,,L1 Expenses,13.32322581,5/1/2024,GB-M25861-GB-XX-RE-1532113-LDN-205-BK02-GB11-D00019-07-511005
,GB,LDN-263-01,FALSE,REEF UK,511005,,,L1 Expenses,100.9703226,5/1/2024,GB-M25861-GB-XX-RE-1528649-KI-1001314-GB11-D00019-07-511005
,GB,FC-1001054,FALSE,REEF UK,611005,,,L4 Expenses,10.2616129,5/1/2024,GB-M25861-GB-XX-RE-2000138-FC-1001054-GB12-D00016-03-611005
,GB,FC-1001054,FALSE,REEF UK,611005,,,L4 Expenses,160.0377419,5/1/2024,GB-M25861-GB-XX-RE-2000138-FC-1001054-GB12-D00016-03-611005
,GB,FC-1001054,FALSE,REEF UK,611005,,,L4 Expenses,102.6145161,5/1/2024,GB-M25861-GB-XX-RE-2000138-FC-1001054-GB12-D00016-03-611005
,GB,FC-1001054,FALSE,REEF UK,611005,,,L4 Expenses,235.7016129,5/1/2024,GB-M25861-GB-XX-RE-2000138-FC-1001054-GB12-D00016-03-611005
