Main account,x.1
507005,L1-12-01
507010,L1-12-01
509005,L1-10-01
509006,L1-10-01
515005,L1-12-01
515010,L1-12-01
515011,L1-12-01
515015,L1-12-01
515020,L1-12-01
515030,L1-12-01
515040,L1-12-01
519005,L1-13-01
519006,L1-13-01
519010,L1-13-01
519015,L1-13-01
519020,L1-13-01
519025,L1-13-01
519060,L1-13-01
519070,L1-13-01
519075,L1-12-01
519080,L1-12-01
520005,L2-01-01
520010,L2-01-01
520015,L2-01-01
520020,L2-01-01
520025,L2-01-01
520030,L2-01-01
520035,L2-01-01
520040,L2-01-01
520045,L2-01-01
534005,L3-01-02
535005,L3-01-04
535010,L3-01-04
535015,L3-01-04
535020,L3-01-04
535025,L3-01-04
536005,L3-01-05
536010,L3-01-05
536015,L3-01-05
536020,L3-01-04
536025,L3-01-05
536030,L3-01-05
536035,L3-01-05
536040,L3-01-05
536045,L3-01-04
536050,L3-01-04
537005,L3-02-01
537010,L3-02-03
537015,L3-02-04
537020,L3-02-02
537025,L3-02-02
537030,L3-02-02
537035,L3-02-02
537040,L3-02-02
537045,L3-02-02
537050,L3-02-02
537055,L3-02-02
537060,L3-02-02
537065,L3-02-02
537070,L3-02-02
537075,L3-02-02
537245,L3-01-05
