Line Order,Line Item,pl_mapping_2,pl_mapping_3,pl_mapping_4,Amount,Region,Month
L1-01-01,Gross Sales,Adjustment,Adjustment,Adjustment,1257.093253,NA,May'24
L1-01-02-01,Gross Sales,MF - Revenue,MF - Revenue,MF - Revenue,740.1525806,NA,May'24
L1-02-01,Discount,Adjustment,Adjustment,Adjustment,-350.0617623,NA,May'24
L1-03-01,Refund,Adjustment,Adjustment,Adjustment,258.4564069,NA,May'24
L1-08-01,GTM,Adjustment,Adjustment,Adjustment,926.6256545,NA,May'24
L1-09-01,L1 Expenses,(-)Food Purchases,Adjustment,Adjustment,2481.120265,NA,May'24
L1-10-01-01,L1 Expenses,1. Residual Rent,(-)Paid to Landlord for used space,Adjustment,1138.703097,NA,May'24
L1-11-01-01,L1 Expenses,2. Residual Content Royalty,(-)Paid to Content Providers,Adjustment,-87.72440871,NA,May'24
L1-12-01-01,L1 Expenses,3. Residual Utilities and R&M,(-)Paid to Vendors,Adjustment,809.9092983,NA,May'24
L1-13-01-01,L1 Expenses,4.Other,(-)Paid to Vendors,Adjustment,-63.48637597,NA,May'24
L1-14-01-01,L1 Expenses,(-)Labor Cost,Adjustment,Adjustment,965.4392391,NA,May'24
L1-15-01,L1 Expenses,(-)Reef Commission Expense,Adjustment,Adjustment,-214.1319823,NA,May'24
L2-01-01-01,L2 Expenses,1. Residual Site Service,(-)Paid to Vendors,Adjustment,228.8797631,NA,May'24
L3-01-01-01,L3 Expenses,"1. UG Costs , net",(-)Food Purchases,Adjustment,1537.275413,NA,May'24
L3-01-02-01,L3 Expenses,"1. UG Costs , net",(-)Rent,Adjustment,1271.32202,NA,May'24
L3-01-04-01,L3 Expenses,"1. UG Costs , net",(-)Utilities and R&M,Adjustment,-383.3994293,NA,May'24
L3-01-05-01,L3 Expenses,"1. UG Costs , net",(-)Other,Adjustment,-14.07093203,NA,May'24
