Line Order,Amount,Region,Month
L1-01,37602,NA,May
L1-02,7526,NA,May
L1-03,25787,NA,May
L1-10-01,25623,NA,May
L1-11-01,-3297,NA,May
L1-12-01,22627,NA,May
L1-13-01,-188215,NA,May
L1-14-01,-98361,NA,May
L2-01-01,-41672,NA,May
L3-01-01,-15955,NA,May
L3-01-02,18344,NA,May
L3-01-04,-21139,NA,May
L3-01-05,18431,NA,May
L3-02-01,-42516,NA,May
L3-02-02,-54162,NA,May
L3-02-03,30174,NA,May
L3-02-04,-47026,NA,May
L3-03-01,1881,NA,May
L3-03-02,-40876,NA,May
L4-01-01,-8957,NA,May
L4-02-01,-286692,NA,May
L1-01,11200,EU,May
L1-02,15534,EU,May
L1-03,38350,EU,May
L1-10-01,-64070,EU,May
L1-11-01,-7604,EU,May
L1-12-01,14924,EU,May
L1-13-01,-107327,EU,May
L1-14-01,-60942,EU,May
L2-01-01,-2266,EU,May
L3-01-01,-108582,EU,May
L3-01-02,0,EU,May
L3-01-04,-4193,EU,May
L3-01-05,-162,EU,May
L3-02-01,0,EU,May
L3-02-02,-6445,EU,May
L3-02-03,21692,EU,May
L3-02-04,0,EU,May
L3-03-01,5009,EU,May
L3-03-02,-2007,EU,May
L4-01-01,-13310,EU,May
L4-02-01,-104447,EU,May
L1-01,-7758,MENA,May
L1-02,61522,MENA,May
L1-03,-34599,MENA,May
L1-10-01,-5918,MENA,May
L1-11-01,5438,MENA,May
L1-12-01,-356,MENA,May
L1-13-01,-165131,MENA,May
L1-14-01,-4535,MENA,May
L2-01-01,640,MENA,May
L3-01-01,212571,MENA,May
L3-01-02,0,MENA,May
L3-01-04,-10675,MENA,May
L3-01-05,-5664,MENA,May
L3-02-01,0,MENA,May
L3-02-02,-1415,MENA,May
L3-02-03,17071,MENA,May
L3-02-04,0,MENA,May
L3-03-01,0,MENA,May
L3-03-02,0,MENA,May
L4-01-01,-53759,MENA,May
L4-02-01,-125360,MENA,May
