Line Order,Check
L1-01,No
L1-02,Yes
L1-03,Yes
L1-04,Yes
L1-05,No
L1-06,No
L1-07,No
L1-08,Yes
L1-10-01,Yes
L1-10-02,No
L1-11-01,Yes
L1-12-01,Yes
L1-12-02-01,No
L1-12-02-02,No
L1-12-02-03,No
L1-12-02-04,No
L1-12-02-05,No
L1-12-02-06,No
L1-12-02-07,No
L1-12-02-08,No
L1-13-01,Yes
L1-14-01,Yes
L2-01-01,Yes
L2-01-03-01,No
L2-01-03-02,No
L2-01-03-03,No
L3-01-01,Yes
L3-01-02,Yes
L3-01-04,Yes
L3-01-05,Yes
L3-01-06,No
L3-02-01,Yes
L3-02-02,Yes
L3-02-03,Yes
L3-03-01,Yes
L3-03-02,Yes
L4-01-01,Yes
L4-02-01,Yes
L4-02-02,Yes
L4-03-06,Yes
L6-01-01,Yes
L6-01-02,Yes
L6-01-03,Yes
L6-01-04,Yes
L6-01-05,Yes
L6-01-06,Yes
L6-01-07,Yes
L6-01-08,Yes
L6-02-01,Yes
